params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",79.39290299999993,100,-0.02005684737718824,-0.02,-0.02325581395348837,-0.01762237762237762,0.0007682295015167705
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",82.15882799999963,100,-0.019585984867293932,-0.02,-0.021528861154446174,-0.016421052631578947,0.000800352214058589
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",82.72758199999953,100,-0.02004361932417953,-0.02,-0.021899224806201552,-0.01852601156069364,0.0004199618416667761
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",79.59426199999962,100,-0.019961841256089997,-0.02,-0.021852551984877126,-0.018530259365994232,0.00037914559311620275
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",76.04490699999951,100,-0.0201617232594946,-0.02,-0.02286549707602339,-0.016263736263736263,0.0013305638465947796
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",61.649280999999974,100,-0.023414005417709497,-0.02259639543534101,-0.03781818181818182,-0.017182320441988946,0.003607080436262037
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",53.672403000000486,100,-0.024930564151874585,-0.023367737364194615,-0.044500000000000005,-0.02,0.004661765120655858
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",102.26947299999938,100,-0.02129043885830463,-0.02,-0.038148148148148146,-0.02,0.0028654005895910753
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",92.80203299999994,100,-0.020910458078503922,-0.02,-0.02933333333333333,-0.02,0.0016009089245624358
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",92.39977599999929,100,-0.02008135457913538,-0.02,-0.02286549707602339,-0.02,0.0003838452631366767
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",103.97710599999937,100,-0.020133635814941667,-0.02,-0.021798165137614678,-0.02,0.0004108892558861584
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",94.76132400000006,100,-0.020046544875437746,-0.02,-0.02657718120805369,-0.01674121405750799,0.0010067212464011245
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",91.72052299999996,100,-0.018650890564017072,-0.018525223147126665,-0.022873900293255128,-0.014035087719298242,0.0012710625181464204
